nhl01,Anaheim,Ducks
nhl02,Boston,Bruins
nhl03,Buffalo,Sabres
nhl04,Calgary,Flames
nhl05,Carolina,Hurricanes
nhl06,Chicago,Blackhawks
nhl07,Colorado,Avalanche
nhl08,Columbus,Blue Jackets
nhl09,Dallas,Stars
nhl10,Detroit,Red Wings
nhl11,Edmonton,Oilers
nhl12,Florida,Panthers
nhl13,Los Angeles,Kings
nhl14,Minnesota,Wild
nhl15,Montreal,Canadiens
nhl16,Nashville,Predators
nhl17,New Jersey,Devils
nhl18,New York,Islanders,NY Islanders
nhl19,New York,Rangers,NY Rangers
nhl20,Ottawa,Senators
nhl21,Philadelphia,Flyers,Phila.
nhl22,Phoenix,Coyotes
nhl23,Pittsburgh,Penguins
nhl24,San Jose,Sharks
nhl25,St. Louis,Blues
nhl26,Tampa Bay,Lightning
nhl27,Toronto,Maple Leafs
nhl28,Vancouver,Canucks
nhl29,Washington,Capitals
nhl30,Winnipeg,Jets
